サラーフ＝アッディーン,1138,1193,1138年@93年@1169年@93年
アイユーブ朝,1169,1250,1169年@1250年
マムルーク朝,1250,1517,1250年@1517年
ムラービト朝,1056,1147,1056年@1147年
ムワッヒド朝,1130,1269,1130年@1269年
ナスル朝,1232,1492,1232年@1492年
国土回復運動,718,1492,718年@1492年
レコンキスタ,718,1492,718年@1492年
ガズナ朝,962,1186,962年@1186年
ゴール朝,1148,1215,1148年頃@1215年
アイバク,1210,1210,1210年
デリー＝スルタン朝,1206,1526,1206年@1526年
奴隷王朝,1206,1290,1206年@90年
ハルジー朝,1290,1320,1290年@1320年
トゥグルク朝,1320,1414,1320年@1414年
サイイド朝,1414,1451,1414年@51年
ロディー朝,1451,1526,1451年@1526年
バフマン朝,1347,1527,1347年@1527年
マラッカ王国,1370,1511,14世紀末頃@1511年
ムラカ王国,1370,1511,14世紀末頃@1511年
アチェ王国,1470,1930,15世紀末@20世紀初め
マタラム王国,1570,1755,16世紀末@1755年
バンテン王国,1527,1813,1527年頃@1813年
クシュ王国,-920,350,前920年頃@350年頃
メロエ王国,-670,350,前670年頃@350年頃
アクスム王国,-200,900,前2世紀頃@9世紀@6世紀頃
エチオピア王国,-200,900,前2世紀頃@9世紀@6世紀頃
ガーナ王国,601,1300,7世紀頃@13世紀
マリ王国,1240,1473,1240年@1473年
ソンガイ王国,1464,1591,1464年@1591年
モノモタパ王国,1511,1900,11年@19世紀
タラス河畔の戦い,751,751,751年
ジャーヒズ,868,868,868年
タバリー,839,923,839年@923年
ガザーリー,1058,1111,1058年@1111年
イブン＝ハルドゥーン,1332,1406,1332年@1406年
イブン＝ハズム,994,1064,994年@1064年
イブン＝ルシュド,1126,1198,1126年@98年
アヴエロエス,1126,1198,1126年@98年
イブン＝バットゥータ,1304,1377,1304年@68年@69年@77年
フワーリズミー,780,850,780年@850年頃
イブン＝シーナー,980,1037,980年@1037年
アヴイケンナ,980,1037,980年@1037年
フィルドゥシー,940,1025,940年頃@1025年
ウマル＝ハイヤーム,1048,1131,1048年@1131年
オマル＝ハイヤーム,1048,1131,1048年@1131年
ラシード＝アッディーン,1247,1318,1247年頃@1318年
ラシードゥッディーン,1247,1318,1247年頃@1318年
アッティラ,406,453,406年頃@453年
カタラウヌムの戦い,451,451,451年
オドアケル,434,493,434年頃@493年
西ローマ帝国の滅亡,476,476,476年
テオドリック,454,526,454年@526年
テオドリック大王,454,526,454年@526年
東ゴート王国,493,555,493年@555年
ヴァンダル王国,429,534,429年@534年
アラリック,370,410,370年頃@410年
西ゴート王国,418,711,418年@711年
ブルクンド王国,443,534,443年@534年
ランゴバルド王国,568,774,568年@774年
七王国,449,829,449年@829年
ヘプターキー,449,829,449年@829年
エグバート,775,839,775年頃@839年
エグベルト,775,839,775年頃@839年
メロヴィング朝,481,751,481年@751年
クローヴィス,465,511,465年@511年
クローヴィスの改宗,496,496,496年
トゥール・ポワティエ間の戦い,732,732,732年
カール＝マルテル,689,741,689年@741年
ピピン,714,768,714年@768年
ピピン3世,714,768,714年@768年
カロリング朝,751,987,751年@987年
カール大帝,742,814,742年@814年
シャルルマーニュ,742,814,742年@814年
レオ3世,816,816,816年
カールの戴冠,800,800,800年
ヴェルダン条約,843,843,843年
メルセン条約,870,870,870年
東フランク王国,843,911,843年@911年
ハインリヒ1世,876,936,876年@936年
オットー1世,912,973,912年@973年
神聖ローマ帝国,962,1806,962年@1806年
レヒフェルトの戦い,955,955,955年
西フランク王国,843,987,843年@987年
ユーグ＝カペー,938,996,938年頃@996年
カペー朝,987,1328,987年@1328年
リューリク,879,879,879年
ルーリック,879,879,879年
ロロ,860,933,860年頃@933年
アルフレッド大王,848,899,848年頃@899年
クヌート,103,995,995年頃@103年
カヌート,103,995,995年頃@103年
ノルマンディー公ウィリアム,1027,1087,1027年頃@87年
ヘースティングズの戦い,1066,1066,1066年
ノルマン征服,1066,1066,1066年
ノルマン＝コンクェスト,1066,1066,1066年
ノルマン朝,1066,1154,1066年@1154年
ルッジェーロ2世,1095,1154,1095年@1154年
両シチリア王国,1130,1860,1130年@1860年
ベネディクトゥス,480,543,480年頃@543年頃
グレゴリウス1世,540,604,540年頃@604年
ドミニコ,1170,1221,1170年頃@1221年
ドミニクス,1170,1221,1170年頃@1221年
グレゴリウス7世,1020,1085,1020年頃@85年
ハインリヒ4世,1050,1106,1050年@1106年
カノッサの屈辱,1077,1077,1077年
ヴォルムス協約,1122,1122,1122年
インノケンティウス3世,1160,1216,1160年頃@1216年
ビザンツ帝国,395,1453,395年@1453年
ユスティニアヌス,483,565,483年@565年
ユスティニアヌス大帝,483,565,483年@565年
トリポニアヌス,546,546,546年
ヘラクレイオス1世,575,641,575年頃@641年
レオン3世,675,741,675年頃@741年
レオ3世,675,741,675年頃@741年
聖像禁止令,726,726,726年
マケドニア朝,867,1057,867年@1057年
第4回十字軍,1202,1204,1202年@04年
ラテン帝国,1204,1261,1204年@61年
オスマン帝国,1299,1922,1299年@1922年
ヤゲウォ朝,1386,1572,1386年@1572年
ヤゲロー朝,1386,1572,1386年@1572年
キュリロス,826,869,826年頃@869年
キプチャク＝ハン国,1243,1502,1243年@1502年
イヴァン3世,1440,1505,1440年@1505年
イヴァン4世,1530,1584,1530年@84年
セルジューク朝,1038,1194,1038年@1194年
